id,api,grade,afsc,aircraft,unit,state,location,conus
280,4,5,11F4Y,General,PACIFIC AIR FORCES COMMAND (OL A5A8),HI,JB PRL HBR-HICKAM,CONUS
281,4,6,11F4Y,General,PACIFIC AIR FORCES COMMAND (OL A5A8),HI,JB PRL HBR-HICKAM,CONUS
282,8,4,11F4H,F-16,PACIFIC AIR FORCES COMMAND (OL A3A6),HI,JB PRL HBR-HICKAM,CONUS
283,8,5,11F4F,F-15,PACIFIC AIR FORCES COMMAND (OL A3A6),HI,JB PRL HBR-HICKAM,CONUS
284,4,6,11F4Y,General,PACIFIC AIR FORCES COMMAND (OL A3A6),HI,JB PRL HBR-HICKAM,CONUS
285,3,5,12F3Y,General,ACC AIR OPERATIONS SQUADRON (DET 2),HI,JB PRL HBR-HICKAM,CONUS
286,8,6,11F4B,A-10,ANG READINESS - FOA (OL HIHI),HI,JB PRL HBR-HICKAM,CONUS
287,4,4,11F4Y,General,AFELM USPACOM US PACIFIC COMMAND (OL AJ3),HI,CP SMITH,CONUS
288,4,5,11F4Y,General,AFELM USPACOM US PACIFIC COMMAND (OL AJ3),HI,CP SMITH,CONUS
289,1,2,11F3H,F-16,421 FIGHTER SQUADRON,UT,HILL,CONUS
290,1,3,11F3H,F-16,421 FIGHTER SQUADRON,UT,HILL,CONUS
291,1,4,11F3H,F-16,421 FIGHTER SQUADRON,UT,HILL,CONUS
292,6,5,11F3H,F-16,421 FIGHTER SQUADRON,UT,HILL,CONUS
293,6,3,11F3H,F-16,388 FIGHTER WING,UT,HILL,CONUS
294,6,4,11F3H,F-16,388 FIGHTER WING,UT,HILL,CONUS
295,6,5,11F3H,F-16,388 FIGHTER WING,UT,HILL,CONUS
296,1,2,11F3N,F-35,4 FIGHTER SQUADRON,UT,HILL,CONUS
297,1,3,11F3N,F-35,4 FIGHTER SQUADRON,UT,HILL,CONUS
298,1,4,11F3N,F-35,4 FIGHTER SQUADRON,UT,HILL,CONUS
299,6,5,11F3N,F-35,4 FIGHTER SQUADRON,UT,HILL,CONUS
300,6,3,11F3N,F-35,388 OPERATIONS SUPPORT SQUADRON,UT,HILL,CONUS
301,6,4,11F3N,F-35,388 OPERATIONS SUPPORT SQUADRON,UT,HILL,CONUS
302,6,5,11F3N,F-35,388 OPERATIONS SUPPORT SQUADRON,UT,HILL,CONUS
303,6,3,11F3H,F-16,388 OPERATIONS GROUP,UT,HILL,CONUS
304,6,4,11F3N,F-35,388 OPERATIONS GROUP,UT,HILL,CONUS
305,6,4,11F3N,F-35,86 FIGHTER WEAPONS SQUADRON (DET 1),UT,HILL,CONUS
306,6,5,11F3N,F-35,86 FIGHTER WEAPONS SQUADRON (DET 1),UT,HILL,CONUS
307,3,6,11F3H,F-16,UT TEST AND TRNING RANGE,UT,HILL,CONUS
308,1,2,11F3N,F-35,34 FIGHTER SQUADRON,UT,HILL,CONUS
309,1,3,11F3N,F-35,34 FIGHTER SQUADRON,UT,HILL,CONUS
310,1,4,11F3N,F-35,34 FIGHTER SQUADRON,UT,HILL,CONUS
311,6,5,11F3N,F-35,34 FIGHTER SQUADRON,UT,HILL,CONUS
312,1,3,11F3H,F-16,314 FIGHTER SQUADRON,NM,HOLLOMAN,CONUS
313,1,4,11F3H,F-16,314 FIGHTER SQUADRON,NM,HOLLOMAN,CONUS
314,6,5,11F3H,F-16,314 FIGHTER SQUADRON,NM,HOLLOMAN,CONUS
315,1,3,11F3H,F-16,8 FIGHTER SQUADRON,NM,HOLLOMAN,CONUS
316,1,4,11F3H,F-16,8 FIGHTER SQUADRON,NM,HOLLOMAN,CONUS
317,6,5,11F3H,F-16,8 FIGHTER SQUADRON,NM,HOLLOMAN,CONUS
318,6,3,11F3H,F-16,54 FIGHTER GROUP,NM,HOLLOMAN,CONUS
319,6,4,11F3H,F-16,54 FIGHTER GROUP,NM,HOLLOMAN,CONUS
320,6,3,11F3H,F-16,54 OPERATIONS SUPPORT SQUADRON,NM,HOLLOMAN,CONUS
321,6,4,11F3H,F-16,54 OPERATIONS SUPPORT SQUADRON,NM,HOLLOMAN,CONUS
322,6,5,11F3H,F-16,54 OPERATIONS SUPPORT SQUADRON,NM,HOLLOMAN,CONUS
323,1,3,11F3H,F-16,311 FIGHTER SQUADRON,NM,HOLLOMAN,CONUS
324,1,4,11F3H,F-16,311 FIGHTER SQUADRON,NM,HOLLOMAN,CONUS
325,6,5,11F3H,F-16,311 FIGHTER SQUADRON,NM,HOLLOMAN,CONUS
326,1,3,11F3Z,Other,82 AERIAL TARGETS SQUADRON (DET 1),NM,HOLLOMAN,CONUS
327,6,5,11F3Z,Other,82 AERIAL TARGETS SQUADRON (DET 1),NM,HOLLOMAN,CONUS
328,3,4,12F3U,ALO,7 AIR SUPT OPNS SQUADRON,TX,FT BLISS,CONUS
329,1,2,11F3Q,IFF,586 FLIGHT TEST SQUADRON,NM,HOLLOMAN,CONUS
330,8,5,11F4Y,General,AFELM SECURITY AST US EUROPEAN COMMAND (OL TU00),TX,ANKARA AFM,CONUS
331,1,2,11F3F,F-15,44 FIGHTER SQUADRON,TX,KADENA,CONUS
332,1,3,11F3F,F-15,44 FIGHTER SQUADRON,TX,KADENA,CONUS
333,1,4,11F3F,F-15,44 FIGHTER SQUADRON,TX,KADENA,CONUS
334,6,5,11F3F,F-15,44 FIGHTER SQUADRON,TX,KADENA,CONUS
335,6,3,11F3F,F-15,18 WING,TX,KADENA,CONUS
336,6,5,11F3F,F-15,18 WING,TX,KADENA,CONUS
337,6,3,11F3F,F-15,18 OPERATIONS GROUP,TX,KADENA,CONUS
338,6,4,11F3F,F-15,18 OPERATIONS GROUP,TX,KADENA,CONUS
339,6,3,11F3F,F-15,18 OPERATIONS SUPPORT SQUADRON,TX,KADENA,CONUS
340,6,4,11F3F,F-15,18 OPERATIONS SUPPORT SQUADRON,TX,KADENA,CONUS
341,6,5,11F3F,F-15,18 OPERATIONS SUPPORT SQUADRON,TX,KADENA,CONUS
342,1,2,11F3F,F-15,67 FIGHTER SQUADRON,TX,KADENA,CONUS
343,1,3,11F3F,F-15,67 FIGHTER SQUADRON,TX,KADENA,CONUS
344,1,4,11F3F,F-15,67 FIGHTER SQUADRON,TX,KADENA,CONUS
345,6,5,11F3F,F-15,67 FIGHTER SQUADRON,TX,KADENA,CONUS
346,1,2,11F3H,F-16,35 FIGHTER SQUADRON,TX,KUNSAN,CONUS
347,1,3,11F3H,F-16,35 FIGHTER SQUADRON,TX,KUNSAN,CONUS
348,1,4,11F3H,F-16,35 FIGHTER SQUADRON,TX,KUNSAN,CONUS
349,6,5,11F3H,F-16,35 FIGHTER SQUADRON,TX,KUNSAN,CONUS
350,1,2,11F3H,F-16,80 FIGHTER SQUADRON,TX,KUNSAN,CONUS
351,1,3,11F3H,F-16,80 FIGHTER SQUADRON,TX,KUNSAN,CONUS
352,1,4,11F3H,F-16,80 FIGHTER SQUADRON,TX,KUNSAN,CONUS
353,6,5,11F3H,F-16,80 FIGHTER SQUADRON,TX,KUNSAN,CONUS
354,6,3,11F3H,F-16,8 FIGHTER WING,TX,KUNSAN,CONUS
355,6,4,11F3H,F-16,8 FIGHTER WING,TX,KUNSAN,CONUS
356,6,5,11F3H,F-16,8 FIGHTER WING,TX,KUNSAN,CONUS
357,6,3,11F3H,F-16,8 OPERATIONS GROUP,TX,KUNSAN,CONUS
358,6,4,11F3H,F-16,8 OPERATIONS GROUP,TX,KUNSAN,CONUS
359,6,3,11F3H,F-16,8 OPERATIONS SUPPORT SQUADRON,TX,KUNSAN,CONUS
360,6,5,11F3H,F-16,8 OPERATIONS SUPPORT SQUADRON,TX,KUNSAN,CONUS
361,8,6,11F4Y,General,U S AIR FORCE HEADQUARTERS (OL SE10),NM,KIRTLAND,CONUS
362,3,3,12F3Y,General,705 COMBAT TRAINING SQUADRON,NM,KIRTLAND,CONUS
363,3,5,11F3Y,General,705 COMBAT TRAINING SQUADRON,NM,KIRTLAND,CONUS
364,4,4,11F4Y,General,AF SAFETY CENTER - FOA,NM,KIRTLAND,CONUS
365,4,5,11F4Y,General,AF SAFETY CENTER - FOA,NM,KIRTLAND,CONUS
366,1,4,11F3Y,General,56 OPERATIONS GROUP (OL B),TX,JBSA LACKLAND-KLY,CONUS
367,4,4,11F4Z,Other,JT INFO OPS WAR CENTER,TX,SAN ANTONIO,CONUS
368,3,3,12F3W,EWO,453 ELECTRONIC WARFARE SQUADRON,TX,JBSA LACKLAND,CONUS
369,4,4,12F4W,EWO,US STRATEGIC CMD (OL JEWC),TX,SAN ANTONIO,CONUS
370,4,6,12F4Y,General,US STRATEGIC CMD (OL JEWC),TX,SAN ANTONIO,CONUS
371,1,2,11F3G,F-15E,494 FIGHTER SQUADRON,TX,LAKENHEATH,CONUS
372,1,3,11F3G,F-15E,494 FIGHTER SQUADRON,TX,LAKENHEATH,CONUS
373,1,4,11F3G,F-15E,494 FIGHTER SQUADRON,TX,LAKENHEATH,CONUS
374,6,5,11F3G,F-15E,494 FIGHTER SQUADRON,TX,LAKENHEATH,CONUS
375,6,3,11F3G,F-15E,48 FIGHTER WING,TX,LAKENHEATH,CONUS
376,6,4,11F3F,F-15,48 FIGHTER WING,TX,LAKENHEATH,CONUS
377,6,5,11F3F,F-15,48 FIGHTER WING,TX,LAKENHEATH,CONUS
378,2,2,12F3F,F-15E WSO,492 FIGHTER SQUADRON,TX,LAKENHEATH,CONUS
379,1,3,11F3G,F-15E,492 FIGHTER SQUADRON,TX,LAKENHEATH,CONUS
380,1,4,11F3G,F-15E,492 FIGHTER SQUADRON,TX,LAKENHEATH,CONUS
381,6,5,11F3G,F-15E,492 FIGHTER SQUADRON,TX,LAKENHEATH,CONUS
382,6,3,11F3G,F-15E,48 OPERATIONS GROUP,TX,LAKENHEATH,CONUS
383,6,5,11F3G,F-15E,48 OPERATIONS GROUP,TX,LAKENHEATH,CONUS
384,6,2,11F3G,F-15E,48 OPERATIONS SUPPORT SQUADRON,TX,LAKENHEATH,CONUS
385,6,3,11F3G,F-15E,48 OPERATIONS SUPPORT SQUADRON,TX,LAKENHEATH,CONUS
386,6,4,12F3F,F-15E WSO,48 OPERATIONS SUPPORT SQUADRON,TX,LAKENHEATH,CONUS
387,6,5,11F3F,F-15,48 OPERATIONS SUPPORT SQUADRON,TX,LAKENHEATH,CONUS
388,1,2,11F3F,F-15,493 FIGHTER SQUADRON,TX,LAKENHEATH,CONUS
389,1,3,11F3F,F-15,493 FIGHTER SQUADRON,TX,LAKENHEATH,CONUS
390,1,4,11F3F,F-15,493 FIGHTER SQUADRON,TX,LAKENHEATH,CONUS
391,6,5,11F3F,F-15,493 FIGHTER SQUADRON,TX,LAKENHEATH,CONUS
392,6,3,11F3J,F-22,1 FIGHTER WING,VA,JB LANGLEY-EUSTIS,CONUS
393,6,5,11F3J,F-22,1 FIGHTER WING,VA,JB LANGLEY-EUSTIS,CONUS
394,6,6,11F3J,F-22,1 FIGHTER WING,VA,JB LANGLEY-EUSTIS,CONUS
395,6,3,11F3J,F-22,1 OPERATIONS SUPPORT SQUADRON,VA,JB LANGLEY-EUSTIS,CONUS
396,6,5,11F3J,F-22,1 OPERATIONS SUPPORT SQUADRON,VA,JB LANGLEY-EUSTIS,CONUS
397,6,3,11F3J,F-22,1 OPERATIONS GROUP,VA,JB LANGLEY-EUSTIS,CONUS
398,6,5,11F3J,F-22,1 OPERATIONS GROUP,VA,JB LANGLEY-EUSTIS,CONUS
399,4,4,12F4Y,General,AIR COMBAT COMMAND (OL A10),VA,JB LANGLEY-EUSTIS,CONUS
400,4,5,12F4Y,General,AIR COMBAT COMMAND (OL A10),VA,JB LANGLEY-EUSTIS,CONUS
401,4,4,11F4F,F-15,AIR COMBAT COMMAND (OL SE00),VA,JB LANGLEY-EUSTIS,CONUS
402,4,6,11F4Y,General,AIR COMBAT COMMAND (OL SE00),VA,JB LANGLEY-EUSTIS,CONUS
403,3,4,11F3Y,General,ACC AIR OPERATIONS SQUADRON,VA,JB LANGLEY-EUSTIS,CONUS
404,3,5,11F3Y,General,ACC AIR OPERATIONS SQUADRON,VA,JB LANGLEY-EUSTIS,CONUS
405,1,3,11F3Z,Other,71 FIGHTER TRNG SQUADRON,VA,JB LANGLEY-EUSTIS,CONUS
406,1,4,11F3Z,Other,71 FIGHTER TRNG SQUADRON,VA,JB LANGLEY-EUSTIS,CONUS
407,6,5,11F3Z,Other,71 FIGHTER TRNG SQUADRON,VA,JB LANGLEY-EUSTIS,CONUS
408,8,4,11F4J,F-22,AIR COMBAT COMMAND (OL IGI),VA,JB LANGLEY-EUSTIS,CONUS
409,8,5,11F4Y,General,AIR COMBAT COMMAND (OL IGI),VA,JB LANGLEY-EUSTIS,CONUS
410,4,6,11F4Y,General,AIR COMBAT COMMAND (OL IGI),VA,JB LANGLEY-EUSTIS,CONUS
411,4,3,12F4Y,General,AIR COMBAT COMMAND (OL A589),VA,JB LANGLEY-EUSTIS,CONUS
412,4,4,11F4B,A-10,AIR COMBAT COMMAND (OL A589),VA,JB LANGLEY-EUSTIS,CONUS
413,4,5,11F4Y,General,AIR COMBAT COMMAND (OL A589),VA,JB LANGLEY-EUSTIS,CONUS
414,4,6,11F4Y,General,AIR COMBAT COMMAND (OL A589),VA,JB LANGLEY-EUSTIS,CONUS
415,4,4,12F4Y,General,AIR COMBAT COMMAND (OL A300),VA,JB LANGLEY-EUSTIS,CONUS
416,4,5,11F4Y,General,AIR COMBAT COMMAND (OL A300),VA,JB LANGLEY-EUSTIS,CONUS
417,4,6,11F4Y,General,AIR COMBAT COMMAND (OL A300),VA,JB LANGLEY-EUSTIS,CONUS
418,4,6,11F4Y,General,AIR COMBAT COMMAND (OL IG00),VA,JB LANGLEY-EUSTIS,CONUS
419,4,4,11F4Y,General,AIR COMBAT COMMAND (OL B),VA,JB LANGLEY-EUSTIS,CONUS
420,4,5,11F4Y,General,AIR COMBAT COMMAND (OL B),VA,JB LANGLEY-EUSTIS,CONUS
421,3,3,11F3Y,General,AIR COMBAT COMMAND (DET 4),VA,JB LANGLEY-EUSTIS,CONUS
422,3,5,11F3Y,General,AIR COMBAT COMMAND (DET 4),VA,JB LANGLEY-EUSTIS,CONUS
423,1,2,11F3J,F-22,27 FIGHTER SQUADRON,VA,JB LANGLEY-EUSTIS,CONUS
424,1,3,11F3J,F-22,27 FIGHTER SQUADRON,VA,JB LANGLEY-EUSTIS,CONUS
425,1,4,11F3J,F-22,27 FIGHTER SQUADRON,VA,JB LANGLEY-EUSTIS,CONUS
426,6,5,11F3J,F-22,27 FIGHTER SQUADRON,VA,JB LANGLEY-EUSTIS,CONUS
427,1,2,11F3J,F-22,94 FIGHTER SQUADRON,VA,JB LANGLEY-EUSTIS,CONUS
428,1,3,11F3J,F-22,94 FIGHTER SQUADRON,VA,JB LANGLEY-EUSTIS,CONUS
429,1,4,11F3J,F-22,94 FIGHTER SQUADRON,VA,JB LANGLEY-EUSTIS,CONUS
430,6,5,11F3J,F-22,94 FIGHTER SQUADRON,VA,JB LANGLEY-EUSTIS,CONUS
431,3,3,12F3Y,General,ACC TRAINING SPT SQUADRON,VA,JB LANGLEY-EUSTIS,CONUS
432,8,5,11F4H,F-16,ANG READINESS - FOA (OL VALA),VA,JB LANGLEY-EUSTIS,CONUS
433,8,6,11F4Y,General,ANG READINESS - FOA (OL VALA),VA,JB LANGLEY-EUSTIS,CONUS
434,4,4,11F4Y,General,AFELM JCS MCA - OTHER JCS ACTIVITY (OL 21K),TX,NORFOLK,CONUS
435,3,4,11F4Y,General,AFELM JCS MCA - OTHER JCS ACTIVITY (OL 25C),TX,NEWPORT NEWS,CONUS
436,4,4,11F3Y,General,AFELM JCS MCA - OTHER JCS ACTIVITY (OL 25C),TX,SUFFOLK,CONUS
437,4,5,11F4Y,General,AFELM JCS MCA - OTHER JCS ACTIVITY (OL 25C),TX,SUFFOLK,CONUS
438,4,4,12F4W,EWO,AFELM JCS MCA - OTHER JCS ACTIVITY (OL 25C),TX,SUFFOLK,CONUS
439,4,5,11F4Y,General,AFELM JCS MCA - OTHER JCS ACTIVITY (OL 25C),TX,SUFFOLK,CONUS
440,4,6,11F4Y,General,AFELM JCS MCA - OTHER JCS ACTIVITY (OL 25C),TX,SUFFOLK,CONUS
441,4,4,12F4W,EWO,JT PLANNING SPT AFELM US TRANSCOM,TX,NORFOLK,CONUS
442,4,4,11F4Y,General,AFELM ALSA (OL LSA),VA,JB LANGLEY-EUSTIS,CONUS
443,4,5,11F4Y,General,AFELM ALSA (OL LSA),VA,JB LANGLEY-EUSTIS,CONUS
444,4,5,11F4Y,General,AFELM JFSC - OTHER JCS ACTIVITY,TX,NORFOLK,CONUS
445,4,5,11F4Y,General,AFELM NAV WAR COLL,TX,NEWPORT,CONUS
446,4,4,12F3Z,Other,SPACE-MISSILE SYS CENTER (OL A),CA,LOS ANGELES,CONUS
447,1,3,11F3H,F-16,425 FIGHTER SQUADRON,AZ,LUKE,CONUS
448,1,4,11F3H,F-16,425 FIGHTER SQUADRON,AZ,LUKE,CONUS
449,6,5,11F3H,F-16,425 FIGHTER SQUADRON,AZ,LUKE,CONUS
450,1,3,11F3H,F-16,310 FIGHTER SQUADRON,AZ,LUKE,CONUS
451,1,4,11F3H,F-16,310 FIGHTER SQUADRON,AZ,LUKE,CONUS
452,6,5,11F3H,F-16,310 FIGHTER SQUADRON,AZ,LUKE,CONUS
453,1,2,11F3H,F-16,56 TRAINING SQUADRON,AZ,LUKE,CONUS
454,6,3,11F3H,F-16,56 TRAINING SQUADRON,AZ,LUKE,CONUS
455,1,4,11F3N,F-35,56 TRAINING SQUADRON,AZ,LUKE,CONUS
456,6,5,11F3H,F-16,56 TRAINING SQUADRON,AZ,LUKE,CONUS
457,6,4,11F3H,F-16,56 FIGHTER WING,AZ,LUKE,CONUS
458,6,5,11F3Y,General,56 FIGHTER WING,AZ,LUKE,CONUS
459,6,3,11F3H,F-16,56 OPERATIONS GROUP,AZ,LUKE,CONUS
460,6,5,11F3H,F-16,56 OPERATIONS GROUP,AZ,LUKE,CONUS
461,6,3,11F3H,F-16,56 OPERATIONS SUPPORT SQUADRON,AZ,LUKE,CONUS
462,6,4,11F3H,F-16,56 OPERATIONS SUPPORT SQUADRON,AZ,LUKE,CONUS
463,6,5,11F3H,F-16,56 OPERATIONS SUPPORT SQUADRON,AZ,LUKE,CONUS
464,1,3,11F3H,F-16,309 FIGHTER SQUADRON,AZ,LUKE,CONUS
465,1,4,11F3H,F-16,309 FIGHTER SQUADRON,AZ,LUKE,CONUS
466,6,5,11F3H,F-16,309 FIGHTER SQUADRON,AZ,LUKE,CONUS
467,1,3,11F3N,F-35,62 FIGHTER SQUADRON,AZ,LUKE,CONUS
468,1,4,11F3N,F-35,62 FIGHTER SQUADRON,AZ,LUKE,CONUS
469,6,5,11F3N,F-35,62 FIGHTER SQUADRON,AZ,LUKE,CONUS
470,1,3,11F3H,F-16,21 FIGHTER SQUADRON,AZ,LUKE,CONUS
471,1,4,11F3H,F-16,21 FIGHTER SQUADRON,AZ,LUKE,CONUS
472,6,5,11F3H,F-16,21 FIGHTER SQUADRON,AZ,LUKE,CONUS
473,6,3,11F3N,F-35,63 FIGHTER SQUADRON,AZ,LUKE,CONUS
474,1,4,11F3N,F-35,63 FIGHTER SQUADRON,AZ,LUKE,CONUS
475,6,5,11F3N,F-35,63 FIGHTER SQUADRON,AZ,LUKE,CONUS
476,1,3,11F3N,F-35,56 OPERATIONS GROUP (OL A),AZ,LUKE,CONUS
477,1,4,11F3N,F-35,56 OPERATIONS GROUP (OL A),AZ,LUKE,CONUS
478,6,5,11F3N,F-35,56 OPERATIONS GROUP (OL A),AZ,LUKE,CONUS
479,1,3,11F3F,F-15,550 FIGHTER SQUADRON,TX,KLAMATH FALLS,CONUS
480,1,4,11F3F,F-15,550 FIGHTER SQUADRON,TX,KLAMATH FALLS,CONUS
481,6,5,11F3F,F-15,550 FIGHTER SQUADRON,TX,KLAMATH FALLS,CONUS
482,1,4,11F3N,F-35,56 OPERATIONS GROUP (OL C),AZ,LUKE,CONUS
483,1,3,11F3N,F-35,61 FIGHTER SQUADRON,AZ,LUKE,CONUS
484,1,4,11F3N,F-35,61 FIGHTER SQUADRON,AZ,LUKE,CONUS
485,6,5,11F3N,F-35,61 FIGHTER SQUADRON,AZ,LUKE,CONUS
486,6,5,11F3H,F-16,ACC TRAINING SPT SQUADRON (DET 1),AZ,LUKE,CONUS
487,3,5,11F3Y,General,598 RANGE SQUADRON,TX,AVON PARK,CONUS
488,4,6,11F4Y,General,USAFCENT (OL A),FL,MACDILL,CONUS
489,8,6,11F4Y,General,AFELM SECURITY AST US CENTRAL COMMAND (OL G00),TX,CAIRO,CONUS
490,4,4,12F4Y,General,700 AFELM USCENTCOM,FL,MACDILL,CONUS
491,4,4,12F4F,F-15E WSO,AFELM USCENTCOM (OL CJ3),FL,MACDILL,CONUS
492,4,5,11F4Y,General,AFELM USCENTCOM (OL CJ3),FL,MACDILL,CONUS
493,4,6,11F4Y,General,AFELM USCENTCOM (OL CJ3),FL,MACDILL,CONUS
494,4,4,11F4Y,General,AFELM USCENTCOM (OL CJ5),FL,MACDILL,CONUS
495,4,6,11F4Y,General,AIR COMBAT OPS STAFF,TX,AL UDEID AB,CONUS
496,8,5,11F4Y,General,AFELM SECURITY AST US CENTRAL COMMAND (OL A),TX,DHAHRAN AFM,CONUS
497,4,4,11F4Y,General,AFELM SECURITY AST US CENTRAL COMMAND (OL O00),TX,AMMAN,CONUS
498,8,4,11F4Y,General,AFELM SECURITY AST US CENTRAL COMMAND (OL A01),TX,RIYADH,CONUS
499,8,4,11F3G,F-15E,AFELM ETSS (OL ET01),TX,KING KHALED,CONUS
500,8,4,12F3G,F-15E EWO,AFELM ETSS (OL ET02),TX,RIYADH,CONUS
501,8,4,11F3F,F-15,AFELM TAFT (OL A04),TX,TAIF,CONUS
502,4,5,11F4Y,General,AFELM TAFT (OL G),TX,KUWAIT CITY,CONUS
503,8,5,11F3H,F-16,AFELM ETSS (OL IA),TX,THUMRAIT,CONUS
504,4,4,11F4Y,General,LEMAY DOCTRINE-ED CENTER,TX,MAXWELL,CONUS
505,4,5,12F4Y,General,LEMAY DOCTRINE-ED CENTER,TX,MAXWELL,CONUS
506,4,6,11F4Y,General,LEMAY DOCTRINE-ED CENTER,TX,MAXWELL,CONUS
507,4,5,11F4Y,General,LEMAY DOCTRINE-ED CENTER (OL OC2),TX,FT RUCKER,CONUS
508,1,2,11F3H,F-16,13 FIGHTER SQUADRON,TX,MISAWA,CONUS
509,1,3,11F3H,F-16,13 FIGHTER SQUADRON,TX,MISAWA,CONUS
510,1,4,11F3H,F-16,13 FIGHTER SQUADRON,TX,MISAWA,CONUS
511,6,5,11F3H,F-16,13 FIGHTER SQUADRON,TX,MISAWA,CONUS
512,1,2,11F3H,F-16,14 FIGHTER SQUADRON,TX,MISAWA,CONUS
513,1,3,11F3H,F-16,14 FIGHTER SQUADRON,TX,MISAWA,CONUS
514,1,4,11F3H,F-16,14 FIGHTER SQUADRON,TX,MISAWA,CONUS
515,6,5,11F3H,F-16,14 FIGHTER SQUADRON,TX,MISAWA,CONUS
516,3,2,12F3W,EWO,35 OPERATIONS SUPPORT SQUADRON,TX,MISAWA,CONUS
517,6,3,11F3H,F-16,35 OPERATIONS SUPPORT SQUADRON,TX,MISAWA,CONUS
518,6,4,11F3H,F-16,35 OPERATIONS SUPPORT SQUADRON,TX,MISAWA,CONUS
519,6,5,11F3H,F-16,35 OPERATIONS SUPPORT SQUADRON,TX,MISAWA,CONUS
520,6,3,11F3H,F-16,35 OPERATIONS GROUP,TX,MISAWA,CONUS
521,6,4,11F3H,F-16,35 OPERATIONS GROUP,TX,MISAWA,CONUS
522,6,3,11F3H,F-16,35 FIGHTER WING,TX,MISAWA,CONUS
523,6,4,11F3H,F-16,35 FIGHTER WING,TX,MISAWA,CONUS
524,6,5,11F3H,F-16,35 FIGHTER WING,TX,MISAWA,CONUS
525,6,3,11F3Z,Other,81 FIGHTER SQUADRON,GA,MOODY,CONUS
526,1,4,11F3Z,Other,81 FIGHTER SQUADRON,GA,MOODY,CONUS
527,6,5,11F3Z,Other,81 FIGHTER SQUADRON,GA,MOODY,CONUS
528,1,2,11F3B,A-10,75 FIGHTER SQUADRON,GA,MOODY,CONUS
529,1,3,11F3B,A-10,75 FIGHTER SQUADRON,GA,MOODY,CONUS
530,1,4,11F3B,A-10,75 FIGHTER SQUADRON,GA,MOODY,CONUS
531,6,5,11F3B,A-10,75 FIGHTER SQUADRON,GA,MOODY,CONUS
532,6,3,11F3B,A-10,23 WING,GA,MOODY,CONUS
533,6,3,11F3B,A-10,23 FIGHTER GROUP,GA,MOODY,CONUS
534,6,4,11F3B,A-10,23 FIGHTER GROUP,GA,MOODY,CONUS
535,6,2,11F3B,A-10,23 OPERATIONS SUPPORT SQUADRON,GA,MOODY,CONUS
536,6,3,11F3B,A-10,23 OPERATIONS SUPPORT SQUADRON,GA,MOODY,CONUS
537,6,4,11F3B,A-10,23 OPERATIONS SUPPORT SQUADRON,GA,MOODY,CONUS
538,6,5,11F3B,A-10,23 OPERATIONS SUPPORT SQUADRON,GA,MOODY,CONUS
539,1,2,11F3B,A-10,74 FIGHTER SQUADRON,GA,MOODY,CONUS
540,1,3,11F3B,A-10,74 FIGHTER SQUADRON,GA,MOODY,CONUS
541,1,4,11F3B,A-10,74 FIGHTER SQUADRON,GA,MOODY,CONUS
542,6,5,11F3B,A-10,74 FIGHTER SQUADRON,GA,MOODY,CONUS
543,1,4,11F3G,F-15E,428 FIGHTER SQUADRON,ID,MOUNTAIN HOME,CONUS
544,6,5,12F3F,F-15E WSO,428 FIGHTER SQUADRON,ID,MOUNTAIN HOME,CONUS
545,6,3,11F3Y,General,366 FIGHTER WING,ID,MOUNTAIN HOME,CONUS
546,6,4,11F3Y,General,366 FIGHTER WING,ID,MOUNTAIN HOME,CONUS
547,6,5,12F3Y,General,366 FIGHTER WING,ID,MOUNTAIN HOME,CONUS
548,6,2,11F3G,F-15E,366 OPERATIONS SUPPORT SQUADRON,ID,MOUNTAIN HOME,CONUS
549,6,3,12F3F,F-15E WSO,366 OPERATIONS SUPPORT SQUADRON,ID,MOUNTAIN HOME,CONUS
550,6,4,12F3F,F-15E WSO,366 OPERATIONS SUPPORT SQUADRON,ID,MOUNTAIN HOME,CONUS
551,6,5,11F3G,F-15E,366 OPERATIONS SUPPORT SQUADRON,ID,MOUNTAIN HOME,CONUS
552,6,3,12F3F,F-15E WSO,366 OPERATIONS GROUP,ID,MOUNTAIN HOME,CONUS
553,6,5,11F3Y,General,366 OPERATIONS GROUP,ID,MOUNTAIN HOME,CONUS
554,1,2,11F3G,F-15E,391 FIGHTER SQUADRON,ID,MOUNTAIN HOME,CONUS
555,1,3,11F3G,F-15E,391 FIGHTER SQUADRON,ID,MOUNTAIN HOME,CONUS
556,1,4,11F3G,F-15E,391 FIGHTER SQUADRON,ID,MOUNTAIN HOME,CONUS
557,6,5,11F3G,F-15E,391 FIGHTER SQUADRON,ID,MOUNTAIN HOME,CONUS
558,1,2,11F3G,F-15E,389 FIGHTER SQUADRON,ID,MOUNTAIN HOME,CONUS
559,2,3,12F3F,F-15E WSO,389 FIGHTER SQUADRON,ID,MOUNTAIN HOME,CONUS
560,1,4,11F3G,F-15E,389 FIGHTER SQUADRON,ID,MOUNTAIN HOME,CONUS
561,6,5,11F3G,F-15E,389 FIGHTER SQUADRON,ID,MOUNTAIN HOME,CONUS
562,2,2,12F3V,EA-6B,390 ELECTRONIC COMBAT SQUADRON,TX,WHIDBEY ISLAND NA,CONUS
563,2,3,12F3V,EA-6B,390 ELECTRONIC COMBAT SQUADRON,TX,WHIDBEY ISLAND NA,CONUS
