id,api,grade,afsc,aircraft,unit,state,location,conus
66,1,4,11F3B,A-10,357 FIGHTER SQUADRON,AZ,DAVIS-MONTHAN,CONUS
67,6,5,11F3B,A-10,357 FIGHTER SQUADRON,AZ,DAVIS-MONTHAN,CONUS
68,6,3,11F3B,A-10,ACC TRAINING SPT SQUADRON (DET 3),AZ,DAVIS-MONTHAN,CONUS
69,6,5,11F3Y,General,ACC TRAINING SPT SQUADRON (DET 3),AZ,DAVIS-MONTHAN,CONUS
70,1,2,11F3B,A-10,355 TRAINING SQUADRON,AZ,DAVIS-MONTHAN,CONUS
71,1,3,11F3B,A-10,355 TRAINING SQUADRON,AZ,DAVIS-MONTHAN,CONUS
72,6,4,11F3B,A-10,355 TRAINING SQUADRON,AZ,DAVIS-MONTHAN,CONUS
73,6,5,11F3Y,General,355 TRAINING SQUADRON,AZ,DAVIS-MONTHAN,CONUS
74,6,3,11F3B,A-10,355 FIGHTER WING,AZ,DAVIS-MONTHAN,CONUS
75,6,4,11F3B,A-10,355 FIGHTER WING,AZ,DAVIS-MONTHAN,CONUS
76,6,5,11F3B,A-10,355 FIGHTER WING,AZ,DAVIS-MONTHAN,CONUS
77,6,3,11F3Y,General,53 TEST AND EVALUATIN GROUP (OL A),AZ,TUCSON INTL,CONUS
78,8,5,11F4H,F-16,ANG READINESS - FOA (DET 11),AZ,TUCSON INTL,CONUS
79,8,5,11F4F,F-15,ANG READINESS - FOA (OL 11A),TX,JACKSONVILLE,CONUS
80,8,6,11F4H,F-16,ANG READINESS - FOA (OL AZDA),AZ,DAVIS-MONTHAN,CONUS
81,8,4,11F4F,F-15,ANG READINESS - FOA (OL FLEG),FL,EGLIN,CONUS
82,4,6,11F4Y,General,AFELM US NORTH COM (OL RST0),TX,TUCSON,CONUS
83,3,5,11F3U,ALO,11 AIR SUPT OPNS SQUADRON,TX,FT HOOD,CONUS
84,3,4,11F3U,ALO,9 AIR SUPT OPNS SQUADRON,TX,FT HOOD,CONUS
85,3,3,11F3Y,General,AF OP TST EVAL CENTER - DRU (DET 1),CA,EDWARDS,CONUS
86,6,4,11F3Y,General,AF OP TST EVAL CENTER - DRU (DET 1),CA,EDWARDS,CONUS
87,6,5,12F4Y,General,AF OP TST EVAL CENTER - DRU (DET 1),CA,EDWARDS,CONUS
88,6,6,11F3Y,General,AF OP TST EVAL CENTER - DRU (DET 1),CA,EDWARDS,CONUS
89,4,5,12F4Y,General,PACIFIC AIR FORCES COMMAND (OL D),TX,SAN DIEGO NAVSTA,CONUS
90,1,3,11F3N,F-35,31 TEST AND EVALUATION SQUADRON,CA,EDWARDS,CONUS
91,1,4,11F3N,F-35,31 TEST AND EVALUATION SQUADRON,CA,EDWARDS,CONUS
92,6,5,11F3N,F-35,31 TEST AND EVALUATION SQUADRON,CA,EDWARDS,CONUS
93,6,4,11F3N,F-35,59 TEST AND EVALUATION SQUADRON (OL A),CA,EDWARDS,CONUS
94,6,3,12F3Y,General, MAXWELL,TX,MAXWELL,CONUS
95,6,5,12F3F,F-15E WSO, MAXWELL,TX,MAXWELL,CONUS
96,8,4,11F4Y,General,AF TEST CENTER,CA,EDWARDS,CONUS
97,1,3,11F3H,F-16,416 FLIGHT TEST SQUADRON,CA,EDWARDS,CONUS
98,6,4,11F3Y,General,412 OPERATIONS SUPPORT SQUADRON,CA,EDWARDS,CONUS
99,6,3,11F3H,F-16,412 OPERATIONS GROUP,CA,EDWARDS,CONUS
100,1,3,11F3H,F-16,461 FLIGHT TEST SQUADRON,CA,EDWARDS,CONUS
101,3,4,12F3W,EWO,AF OP TST EVAL CENTER - DRU (DET 2),FL,EGLIN,CONUS
102,3,5,11F3Y,General,AF OP TST EVAL CENTER - DRU (DET 2),FL,EGLIN,CONUS
103,6,3,11F3N,F-35,33 FIGHTER WING,FL,EGLIN,CONUS
104,6,4,11F3N,F-35,33 FIGHTER WING,FL,EGLIN,CONUS
105,6,5,11F3N,F-35,33 FIGHTER WING,FL,EGLIN,CONUS
106,6,6,11F3N,F-35,33 FIGHTER WING,FL,EGLIN,CONUS
107,6,3,11F3N,F-35,33 OPERATIONS SUPPORT SQUADRON,FL,EGLIN,CONUS
108,6,4,11F3N,F-35,33 OPERATIONS SUPPORT SQUADRON,FL,EGLIN,CONUS
109,6,5,11F3N,F-35,33 OPERATIONS SUPPORT SQUADRON,FL,EGLIN,CONUS
110,6,3,11F3N,F-35,33 OPERATIONS GROUP,FL,EGLIN,CONUS
111,6,5,11F3N,F-35,33 OPERATIONS GROUP,FL,EGLIN,CONUS
112,1,2,11F3N,F-35,58 FIGHTER SQUADRON,FL,EGLIN,CONUS
113,1,3,11F3N,F-35,58 FIGHTER SQUADRON,FL,EGLIN,CONUS
114,1,4,11F3N,F-35,58 FIGHTER SQUADRON,FL,EGLIN,CONUS
115,6,5,11F3N,F-35,58 FIGHTER SQUADRON,FL,EGLIN,CONUS
116,1,3,11F3Y,General,6 SPECIAL OPERATIONS SQUADRON,FL,DUKE FIELD,CONUS
117,6,3,12F3F,F-15E WSO,86 FIGHTER WEAPONS SQUADRON,FL,EGLIN,CONUS
118,1,4,11F3Y,General,86 FIGHTER WEAPONS SQUADRON,FL,EGLIN,CONUS
